SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,2101 NE J St,Bentonville,AR,72712,650000,3,1.0,,1400,20037,1990,141,464,,Active,,,https://www.redfin.com/AR/Bentonville/2101-NE-J-St-72712/home/115228478,NWARMLS,1235138,N,Y,36.3951089,-94.1963821
MLS Listing,,Single Family Residential,1050 Bootleg Rd,Centerton,AR,72719,374900,3,2.0,Annika Estates,1907,8276,2022,146,197,17,Active,,,https://www.redfin.com/AR/Bentonville/1050-Bootleg-Rd-72713/home/181971260,NWARMLS,1235115,N,Y,36.341814,-94.296784
MLS Listing,,Single Family Residential,1070 Bootleg Rd,Centerton,AR,72719,374900,3,2.0,Annika Estates,1907,8276,2022,146,197,17,Active,,,https://www.redfin.com/AR/Bentonville/1070-Bootleg-Rd-72713/home/181971258,NWARMLS,1235116,N,Y,36.341814,-94.296784
MLS Listing,,Single Family Residential,504 SW Autumn Hills Rd,Bentonville,AR,72712,924500,4,3.5,Autumn Hills,3623,13503,2023,148,255,21,Active,,,https://www.redfin.com/AR/Bentonville/504-SW-Autumn-Hills-Rd-72712/home/176832617,NWARMLS,1235232,N,Y,36.367375,-94.266402
MLS Listing,,Single Family Residential,2002 SW Riverstone Rd,Bentonville,AR,72713,384000,3,2.5,Stone Meadow Add Bentonville,2058,6534,2013,151,187,130,Active,,,https://www.redfin.com/AR/Bentonville/2002-SW-Riverstone-Rd-72713/home/115349789,NWARMLS,1235226,N,Y,36.3518779,-94.249331
MLS Listing,,Single Family Residential,1731 Whippoorwill Ln,Bentonville,AR,72713,499000,4,3.5,Quailridge Ph I Centerton,2600,10454,2007,153,192,33,Active,,,https://www.redfin.com/AR/Bentonville/1731-Whippoorwill-Ln-72713/home/115722846,NWARMLS,1235123,N,Y,36.341494,-94.2551108
MLS Listing,,Townhouse,618 Bella Vista Rd,Bentonville,AR,72712,1349550,4,3.5,AJ SUB-BENTONVILLE,2999,8276,2022,160,450,,Active,,,https://www.redfin.com/AR/Bentonville/618-Bella-Vista-Rd-72712/home/183222919,NWARMLS,1234667,N,Y,36.379524,-94.2162959
MLS Listing,,Townhouse,616 Bella Vista Rd,Bentonville,AR,72712,1196550,3,2.5,AJ SUB-BENTONVILLE,2659,8276,2022,160,450,,Active,,,https://www.redfin.com/AR/Bentonville/616-Bella-Vista-Rd-72712/home/183222917,NWARMLS,1234666,N,Y,36.379524,-94.2162959
MLS Listing,,Single Family Residential,1201 & 1203 SW I St,Bentonville,AR,72712,560000,5,2.0,Belle Heights Bentonville,1922,23958,,175,291,,Active,,,https://www.redfin.com/AR/Bentonville/1201-SW-I-St-72712/home/114863863,NWARMLS,1233946,N,Y,36.3591044,-94.2216621
MLS Listing,,Single Family Residential,718 W Central Ave,Bentonville,AR,72712,800000,2,1.0,Dickson Add Bentonville,1064,10018,,176,752,,Active,,,https://www.redfin.com/AR/Bentonville/718-W-Central-Ave-72712/home/115790941,NWARMLS,1229395,N,Y,36.3726947,-94.2189594
